楙	茂
楚	椘
楜	胡
楠	枏
楡	榆
楳	梅
楽	樂
概	槪
榆	楡
榘	矩
榦	乾
槅	核
槇	槙
槓	杠
様	樣
槙	槇
槜	檇
槻	規
樂	樂
樐	櫓
樓	樓
樣	様
権	權
樽	罇
樿	椫
橇	鞒
橢	楕
橦	幢
檇	槜
檘	蘗
檜	栝
檢	検
檳	梹
檼	櫽
櫂	棹
櫉	櫥
櫓	櫓
櫥	櫉
櫽	檼
欄	欄
權	権
欒	灤
欝	鬱
欠	缺
欣	忻
欲	慾
欸	唉
歉	欠
歓	歡
歛	斂
歡	驩
止	只
歧	岐
歩	步
歯	齒
歲	亗
歳	歲
歴	歷
歸	帰
歹	歺
歺	歹
殀	夭
殒	隕
殞	隕
殱	殲
殺	殺
殻	殼
毎	每
每	毎
毓	育
毗	毘
毬	球
氂	犛
気	氣
氣	気
氷	冰
氽	尿
氾	泛
汇	彙
汎	泛
汙	汚
汚	汙
污	汙
沅	源
沉	瀋
沍	冱
沖	盅
沢	澤
沨	渢
沱	沲
沲	沱
沵	濔
泊	泺
泖	茅
泙	洴
泛	汎
泝	溯
泥	泥
洌	冽
洚	洪
洛	洛
洟	涕
洪	洚
洴	泙
流	流
浄	淨
浉	溮
浚	濬
浜	濱
浩	澔
浪	浪
涉	渉
涌	湧
涕	洟
涙	淚
涚	涗
涜	瀆
涢	溳
涸	凅
涼	凉
淋	淋
淒	凄
淚	淚
淡	澹
淨	凈
淫	婬
淸	清
清	淸
渇	渴
済	濟
渉	涉
渋	澀
渓	溪
渕	淵
渢	沨
渴	渇
游	逰
湟	況
湧	涌
湿	溼
満	滿
溁	濚
溇	漊
溈	潙
溉	漑
溌	潑
源	厵
準	凖
溜	溜
溪	渓
溮	浉
溯	泝
溳	涢
溺	尿
溼	濕
滑	磆
滟	灔
漆	柒
漊	溇
漏	漏
漑	溉
漱	潄
漾	瀁
潀	潨
潅	灌
潑	溌
潙	溈
潨	潀
潸	𣽽
澀	澁
澁	澀
澄	澂
澑	溜
澔	浩
澙	潟
澛	瀂
澤	沢
澹	淡
濇	澀
濔	沵
濚	溁
濜	浕
濬	浚
濳	潛
濶	闊
濼	泊
濾	濾
瀁	漾
瀂	澛
瀒	澀
瀨	瀬
瀬	瀨
瀰	彌
灌	潅
灎	灔
灔	灩
灧	灔
灮	光
災	烖
炅	耿
炔	耿
炙	炙
炤	照
炮	砲
炯	烱
炰	炮
為	爲
烉	煥
烖	災
烙	烙
烱	炯
焔	焰
焦	焳
焭	煢
焰	焔
焼	燒
煅	鍛
煉	煉
煑	煮
煕	熙
煥	烉
照	炤
煮	煑
煽	搧
熈	熙
熏	燻
熔	鎔
熙	煕
熹	熺
熺	熹
燎	燎
燐	燐
燕	鷰
燗	爛
燣	燷
燷	燣
燻	熏
爋	𤑕
爐	爐
爲	為
爼	俎
牀	床
牆	墻
牋	箋
牠	它
牢	牢
牦	犛
牴	觝
犁	犂
犂	犁
犇	奔
犛	髦
犠	犧
犲	豺
狢	貉
狼	狼
猟	獵
猪	猪
猾	獪
獎	奬
獣	獸
獪	猾
獵	獵
玅	妙
玆	茲
率	率
玙	璵
玟	珉
玲	玲
珉	玟
珍	珎
珎	珍
珞	珞
珶	瑅
琅	瑯
理	理
琉	琉
琎	璡
琱	雕
瑅	珶
瑩	瑩
瑯	琅
瑸	璸
璘	璘
璡	琎
璵	玙
璸	瑸
瓶	缾
瓷	甆
甁	瓶
甆	瓷
甚	什
甜	甛
甞	嘗
産	產
甪	角
畄	留
畆	畝
界	畍
畍	界
畒	畝
留	畄
畝	畮
略	畧
畧	略
番	蹯
畫	画
畬	畭
畭	畬
畮	畝
異	異
畲	畬
畳	疊
畵	畫
疉	曡
疊	曡
疋	匹
痢	痢
痩	瘦
痲	痳
痳	痲
瘘	瘺
瘦	痩
癒	愈
癛	癝
癨	霍
癩	癩
発	發
發	発
百	佰
皁	皂
皂	皁
皈	歸
皋	皐
皐	皋
皷	鼓
皼	鼓
盅	沖
盇	盍
益	益
盍	盇
省	省
