悦	悅
悳	德
悶	㥃
惇	敦
惕	悐
惛	惽
惝	𢠵
惧	懼
惩	懲
惪	德
惺	𢜫
惽	惛
愈	愉
愉	愈
愍	憫
愠	慍
愧	媿
愬	訴
愻	遜
愽	博
愿	願
慁	㥵
慂	恿
慈	㤵
慍	愠
慙	慚
慚	慙
慞	傽
慷	忼
慼	慽
慽	慼
慾	欲
憇	憩
憋	𢠳
憑	凴
憔	顦
憙	喜
憝	譈
憩	憇
憫	愍
憯	㦧
憰	譎
懁	悁
懔	凛
懜	懵
懟	憝
懣	㥃
懥	懫
懫	懥
懲	惩
懵	懜
懷	怀
懼	惧
懽	歡
戀	恋
戉	鉞
戧	創
戯	戲
戱	戲
戲	戯
戹	厄
扅	扊
扊	扅
手	扌
扌	手
扎	紮
扑	撲
托	拓
扞	捍
执	執
扯	撦
扳	攀
扵	于
扼	㧖
抌	舀
抍	拯
抝	拗
报	報
抬	擡
抽	𢭆
抿	㨉
担	擔
拇	𧿹
拏	拿
拓	托
拕	拖
拖	拕
拗	抝
拭	𢂑
拯	抍
拼	摒
拿	拏
挂	掛
挐	拏
挫	繲
挭	骾
挱	挲
挲	挱
挷	搒
挼	捼
捆	綑
捌	八
捍	扞
捏	揑
捓	揶
捦	擒
捬	撫
捵	䥀
捶	箠
捷	㨗
捼	挼
掂	敁
掃	埽
掏	搯
掐	𠜼
掛	挂
掩	揜
掬	匊
掽	碰
揅	研
揑	捏
揜	掩
揝	撍
揦	攋
揪	揫
揫	揪
揶	捓
揸	楂
搃	總
搇	撳
搉	㩁
搒	挷
搖	摇
搗	擣
搜	𢯱
搞	攪
搤	㧖
搪	傏
搫	搬
搬	搫
搭	撘
搯	掏
携	攜
摁	恩
摇	搖
摒	拼
摠	搃
摡	溉
摣	揸
摮	𢳆
撂	㨼
撆	撇
撇	撆
撍	揝
撐	撑
撑	撐
撘	搭
撟	嬌
撦	扯
撫	捬
撲	扑
撳	搇
擃	攮
擄	虜
擋	攩
擒	捦
擔	担
擗	劈
擡	抬
擣	搗
擥	㩜
擧	舉
擲	擿
擸	㧜
擿	擲
攀	㐴
攅	攢
攋	揦
攜	携
攢	攅
攩	擋
攪	搞
攬	㩜
攮	擃
攴	攵
攵	攴
收	㧃
攷	考
敁	掂
敃	暋
效	効
敉	侎
敍	叙
敎	教
敏	勄
敕	勅
敗	䢙
敘	叙
教	敎
敠	敪
敦	惇
敪	敠
敷	尃
敺	驅
斁	𤢕
斅	斆
斆	斅
斈	學
斉	齊
斋	齋
斌	彬
斚	斝
斝	斚
斞	㔱
斤	觔
斥	㡿
断	斷
斲	㓸
斵	斲
斷	断
於	于
斾	旆
旂	旗
旆	斾
旈	旒
旉	尃
旒	旈
旗	旂
旘	幟
旛	幡
无	無
旧	舊
旪	協
时	時
旹	时
昂	昻
明	朙
昏	昬
昒	㫚
昝	偺
映	暎
昪	忭
昬	昏
昵	暱
昷	𥁕
昻	昂
晁	朝
時	时
晅	烜
晉	晋
晋	晉
晒	曬
晡	𣇀
晰	晳
晳	晰
暋	敃
暎	映
暖	煖
暠	皜
暱	昵
暴	虣
曆	厤
曖	瞹
曜	燿
曡	叠
曬	晒
更	㪅
曼	㬅
朁	㬱
會	会
朐	鸜
朙	明
望	朢
朝	晁
朞	稘
朢	望
朳	杷
朴	樸
朵	朶
朶	朵
机	機
朿	莿
杇	圬
村	邨
杝	柂
杠	槓
条	條
来	來
杧	芒
杯	盃
杰	傑
東	东
杷	朳
杸	殳
板	版
枏	楠
果	菓
枬	楠
枱	儓
架	榢
枾	柹
柁	舵
柂	杝
柄	棅
柏	栢
某	厶
柒	七
柚	櫾
柜	櫃
查	査
柰	奈
柳	檉
柹	枾
査	查
标	檁
栒	簨
栖	棲
栛	荔
栢	柏
栰	筏
桌	棹
桼	㯃
梁	樑
條	条
梟	鴞
梦	夢
梨	棃
梲	棳
梹	檳
棃	梨
棅	柄
棊	碁
棋	棊
棐	榧
棑	篺
棕	㯶
棥	樊
棰	槌
棱	稜
棲	栖
棳	梲
棹	桌
椀	盌
椁	槨
椎	槌
椰	㭨
椶	棕
椹	葚
楂	揸
楞	棱
楠	枏
楥	楦
楦	楥
楫	艥
概	槩
榎	檟
榛	亲
榢	架
榧	棐
榨	醡
榮	荣
榴	橊
槀	稿
槊	鎙
槌	棰
槎	楂
槓	杠
槖	橐
槨	椁
槩	㮣
槪	㮣
槹	𣓌
樊	棥
樐	㯭
樑	梁
樚	轆
樷	叢
樸	朴
樻	匱
樽	墫
橆	無
橇	鞽
橊	榴
橐	槖
橓	蕣
橛	橜
橜	橛
機	机
檁	标
檉	柳
檐	簷
檔	欓
檛	簻
檝	楫
檟	榎
檠	𢐧
檣	艢
檯	儓
檳	㯽
檴	穫
檾	䔛
櫂	棹
櫃	匱
櫈	凳
櫌	耰
櫓	㯭
櫝	匵
櫱	蘖
櫳	㰍
櫺	欞
櫾	柚
欓	檔
欝	鬱
欞	櫺
欢	懽
欣	忻
欬	咳
欲	慾
欵	款
欶	𠲿
欸	唉
欹	猗
欼	啜
款	欵
歌	謌
歎	嘆
歕	呠
歗	嘯
歠	啜
歡	懽
歱	踵
歲	亗
歳	歲
歴	曆
歷	曆
歸	归
歹	歺
歺	歹
歿	殁
殁	歿
殃	䄃
殉	侚
殰	𦢌
殳	杸
殻	壳
殼	㱿
殽	淆
毓	育
毗	毘
毘	毗
毡	氈
毧	㲓
氅	鷩
氈	毡
氊	氈
氓	甿
氜	陽
氣	炁
氤	絪
氯	綠
水	氵
氵	水
氷	冫
氼	溺
汎	泛
汙	污
汚	汙
污	汙
決	决
沈	沉
沉	沈
沍	冱
沖	冲
沪	冱
沱	沲
沲	沱
沸	㵒
況	况
泄	洩
泉	洤
泛	汎
泝	遡
泥	坭
泪	淚
洒	灑
洞	峒
洤	泉
洩	泄
洿	汙
浚	濬
浣	澣
浼	凂
涅	湼
涌	湧
涎	㳄
涕	䶏
涖	莅
涶	唾
涼	凉
淆	殽
淒	凄
淚	泪
淜	漰
淡	澹
淨	凈
淫	婬
淳	湻
淹	渰
渚	陼
減	减
渨	隈
温	溫
渫	泄
渰	淹
渹	𢕐
湊	凑
湏	須
湧	涌
湻	淳
湼	涅
溉	摡
準	准
溫	温
溯	遡
溺	氼
溻	褟
溼	濕
溽	縟
滅	烕
滙	匯
滺	悠
漁	䱷
漆	㯃
漇	𢳜
漎	潨
漫	澷
漰	淜
漾	瀁
漿	𤕯
潛	潜
潜	潛
潝	㴔
潣	浼
潨	漎
潬	灘
澀	澁
澁	澀
澈	徹
澗	磵
澣	浣
澳	襖
澷	漫
澹	淡
濇	澀
濕	溼
濛	霥
濬	浚
濱	濵
濵	濱
濶	闊
濿	砅
瀁	漾
瀒	澀
瀕	濱
灑	洒
灘	潬
火	灬
灬	火
灯	燈
灰	灰
灴	烘
灵	靈
灶	竈
災	灾
灾	災
炁	氣
炉	爐
炤	照
炮	砲
炯	烱
炰	炮
炸	煠
点	點
為	爲
烊	煬
烕	滅
烖	災
烘	灴
烛	燭
烜	晅
烝	蒸
烟	完
烱	炯
無	无
焰	燄
煅	鍛
煆	鍜
煇	輝
煑	煮
煖	暖
煙	完
煠	炸
照	炤
煬	烊
煮	煑
煳	㷻
熇	燺
熈	熙
熏	燻
熔	鎔
熙	熈
熨	㷉
熱	𤍠
